id;Раунд;Турнир (название);Турнир (формат);Турнир (город);Дата;Резолюция
1;Ф;V ОК МГЮА;Открытый;Москва;2008.;ЭП бойкотирует олимпийские игры в Пекине
2;Р1;Fire 2009;Открытый;Харьков (Украина);2009.03;ЭП должна ввести налог на роскошь
3;Р2;Fire 2009;Открытый;Харьков (Украина);2009.03;ЭПСЧ профессиональные спортсмены не должны освобождаться от общей воинской повинности
4;Р3;Fire 2009;Открытый;Харьков (Украина);2009.03;ЭП предаст земле тело Ленина
5;Р4;Fire 2009;Открытый;Харьков (Украина);2009.03;ЭП должна разрешить трансплантацию органов или тканей в тех случаях, когда другие медицинские средства могут гарантировать сохранение жизни реципиента
6;Р5;Fire 2009;Открытый;Харьков (Украина);2009.03;ЭП должна отказаться от разработки искусственного интеллекта
7;Р6;Fire 2009;Открытый;Харьков (Украина);2009.03;ЭПСЧ при отказе в выдаче визы просителю всегда должны быть указаны причины
8;Ф мастеров;Fire 2009;Открытый;Харьков (Украина);2009.03;ЭПСЧ в отношении стран, не подписавших договор о запрещении кассетных боеприпасов, допустимо нарушение правил и обычаев войны
9;Ф женский;Fire 2009;Открытый;Харьков (Украина);2009.03;ЭПСЧ однополые супруги должны иметь право усыновлять детей
10;Фмк;Fire 2009;Открытый;Харьков (Украина);2009.03;ЭПСЧ врач должен сообщать родителям несовершеннолетней девушки о ее намерении сделать аборт
11;ЧФ;Fire 2009;Открытый;Харьков (Украина);2009.03;ЭПСЧ заключенные должны обладать правом избирать
12;ПФ;Fire 2009;Открытый;Харьков (Украина);2009.03;ЭПСЧ Франция не должна возобновлять своё участие в военных структурах НАТО
13;Ф;Fire 2009;Открытый;Харьков (Украина);2009.03;ЭПСЧ поддержка банковской системы важнее финансирования социальных программ
14;Р?;I ОТ МГТУ им. Баумана;Открытый;Москва;2009.10;ЭП запретит производство фильмов ужасов
15;Р?;I ОТ МГТУ им. Баумана;Открытый;Москва;2009.10;ЭПСЧ ветровая энергия лучше ядерной
16;Р?;I ОТ МГТУ им. Баумана;Открытый;Москва;2009.10;ЭП введет уголовную ответственность за употребление наркотиков
17;Ф (рус.);I ОТ МГТУ им. Баумана;Открытый;Москва;2009.10;ЭП восстановит все демонтированные по политическим основаниям памятники советской эпохи в России
18;Ф (eng.);I ОТ МГТУ им. Баумана;Открытый;Москва;2009.10;ЭП даст людям с высшим образованием дополнительные голоса на выборах
19;Р1;II Первый кубок 2010;-;Новосибирск;2010.02;ЭП введет процедуру персональной идентификации всех пользователей при выходе в Интернет
20;Р2;II Первый кубок 2010;-;Новосибирск;2010.02;ЭП будет требовать от государств, на территории которых происходят экологические катастрофы по вине человека, финансировать международные экологические организации
21;Р3;II Первый кубок 2010;-;Новосибирск;2010.02;ЭП запретит вещание специализированных детских телеканалов
22;Р4;II Первый кубок 2010;-;Новосибирск;2010.02;ЭПСЧ Олимпийские игры не должны финансироваться налогоплательщиками
23;ПФ;II Первый кубок 2010;-;Новосибирск;2010.02;ЭП считает необходимым согласие на аборт отца ребенка
24;Ф;II Первый кубок 2010;-;Новосибирск;2010.02;ЭП запретит все виды порнографии
25;Р1;II тур МЛЧ 2009/2010 гг.;Для новичков;Москва;2010.02;ЭПСЧ бизнес должен содержать науку
